사업장명,도로명주소,지번주소,동,전화번호,업태구분명,영업상태명,인허가일자,업종,착한업소,사랑상품권,위생등급,행정처분,latitude,longitude,가격
풍성감자탕,서울특별시 광진구 자양로18길 5 (구의동),서울특별시 광진구 구의동 252-43,구의동,02 4460354,한식,영업/정상,1984-07-11,일반음식점,미등록,불가능,,없음,37.5375953,127.0838404,31000
몽아,서울특별시 광진구 면목로 29 (군자동),서울특별시 광진구 군자동 469-10,군자동,221352489,까페,영업/정상,1985-12-27,일반음식점,미등록,불가능,,없음,37.5567986,127.0760619,30750
짠롱지아,서울특별시 광진구 아차산로 397 (구의동),서울특별시 광진구 구의동 243-7번지,구의동,02 4440811,중국식,영업/정상,1986-05-01,일반음식점,미등록,가능,,없음,37.5376233,127.0867582,13250
양숙이네,서울특별시 광진구 자양번영로 74 (자양동),서울특별시 광진구 자양동 804-0,자양동,234371102,한식,영업/정상,1986-03-24,일반음식점,미등록,가능,,없음,37.5360265,127.0767551,16500
동화장,서울특별시 광진구 능동로 320 (중곡동),서울특별시 광진구 중곡동 158-24번지,중곡동,02 4524778,중국식,영업/정상,1986-03-18,일반음식점,미등록,가능,,없음,37.5581522,127.0802906,7750
종로빈대떡,서울특별시 광진구 자양로 49 (자양동),서울특별시 광진구 자양동 679-31,자양동,02 4567178,한식,영업/정상,1986-09-10,일반음식점,미등록,불가능,,없음,37.5321802,127.0851804,10500
종로빈대떡,서울특별시 광진구 자양로 49 (자양동),서울특별시 광진구 자양동 679-31,자양동,02 4567178,한식,영업/정상,1986-09-10,일반음식점,미등록,불가능,,없음,37.5321802,127.0851804,17250
순천만갯벌낙지,서울특별시 광진구 천호대로143길 8-7 (광장동),서울특별시 광진구 광장동 245-10,광장동,02 4561189,한식,영업/정상,1987-03-13,일반음식점,미등록,가능,,없음,37.5460252,127.1034127,38750
대원칼국수,"서울특별시 광진구 자양로18길 56, 거송빌딩 2층 (구의동)",서울특별시 광진구 구의동 243-6 거송빌딩,구의동,02 4543112,분식,영업/정상,1987-10-23,일반음식점,미등록,가능,,없음,37.5379606,127.08668,8125
춘천집명가,"서울특별시 광진구 아차산로33길 7 (화양동,,7)","서울특별시 광진구 화양동 7-1 ,7 ",화양동,02 4649659,한식,영업/정상,1987-05-28,일반음식점,미등록,가능,,없음,37.540699,127.0699127,12250
마시쏘 부대찌개,서울특별시 광진구 천호대로 644 (능동),서울특별시 광진구 능동 256-2,능동,02 4576847,한식,영업/정상,1987-09-23,일반음식점,미등록,불가능,,없음,37.5530754,127.0884181,22250
정가네빈대떡,서울특별시 광진구 천호대로112길 10 (능동),서울특별시 광진구 능동 222-5,능동,02 4573676,한식,영업/정상,1987-10-02,일반음식점,미등록,불가능,,없음,37.5557922,127.0813207,22500
고향빈대떡,서울특별시 광진구 자양로18길 44 (구의동),서울특별시 광진구 구의동 246-96번지,구의동,02 4586972,한식,영업/정상,1987-01-20,일반음식점,미등록,가능,,없음,37.5378733,127.085957,12000
구의해장국,서울특별시 광진구 자양로 199 (구의동),서울특별시 광진구 구의동 80-48,구의동,02 4549532,한식,영업/정상,1988-01-26,일반음식점,미등록,가능,,없음,37.5453746,127.0852933,7625
너구리포차,"서울특별시 광진구 자양로18길 56 (구의동,,16)","서울특별시 광진구 구의동 243-6 ,16 ",구의동,02 4555591,한식,영업/정상,1988-03-08,일반음식점,미등록,불가능,,없음,37.5379606,127.08668,4950
중일가든,서울특별시 광진구 아차산로76가길 4 (광장동),서울특별시 광진구 광장동 325-4,광장동,02 4543770,한식,영업/정상,1988-02-24,일반음식점,미등록,가능,,없음,37.5474664,127.1075026,50000
성동식당,"서울특별시 광진구 아차산로51길 93, 1층 (구의동)",서울특별시 광진구 구의동 251-149 1층,구의동,02 4471378,분식,영업/정상,1988-08-09,일반음식점,미등록,불가능,,없음,37.5412312,127.0852584,17250
태능숯불갈비,"서울특별시 광진구 용마산로7길 5, 1층 (중곡동)",서울특별시 광진구 중곡동 124-4,중곡동,02 4471907,식육(숯불구이),영업/정상,1989-05-04,일반음식점,미등록,불가능,,없음,37.5588642,127.0872347,14750
흥부가기가막혀,서울특별시 광진구 능동로19길 10 (화양동),서울특별시 광진구 화양동 217,화양동,02 4631543,호프/통닭,영업/정상,1989-08-19,일반음식점,미등록,불가능,,없음,37.5471246,127.0732215,16000
거북이삼겹살,서울특별시 광진구 긴고랑로 31 (중곡동),서울특별시 광진구 중곡동 241-30,중곡동,02 4668038,한식,영업/정상,1989-08-10,일반음식점,미등록,가능,,없음,37.5632881,127.0800469,15000
순금이떡볶이,서울특별시 광진구 자양로43길 43 (구의동),서울특별시 광진구 구의동 53-14,구의동,02 4558090,분식,영업/정상,1989-07-20,일반음식점,미등록,불가능,,없음,37.5524763,127.0901925,4500
이공닭발,서울특별시 광진구 군자로 105-1 (군자동),서울특별시 광진구 군자동 102-6,군자동,02 4612263,한식,영업/정상,1989-03-23,일반음식점,미등록,불가능,,없음,37.5525725,127.0715762,14000
뜬금포차,서울특별시 광진구 아차산로51길 36-1 (구의동),서울특별시 광진구 구의동 257-72,구의동,02 4537678,한식,영업/정상,1990-09-13,일반음식점,미등록,불가능,,없음,37.5386548,127.0851445,15000
전중화닭날개구이,서울특별시 광진구 동일로18길 65 (자양동),서울특별시 광진구 자양동 9-34,자양동,02 4676135,한식,영업/정상,1990-04-12,일반음식점,미등록,불가능,,없음,37.5390965,127.0664198,6750
참진동옛날해장국,서울특별시 광진구 아차산로51길 27 (구의동),서울특별시 광진구 구의동 252-6,구의동,02 4589939,한식,영업/정상,1990-04-18,일반음식점,미등록,불가능,,없음,37.5382268,127.0848433,10250
이모네김밥,서울특별시 광진구 뚝섬로 590 (자양동),서울특별시 광진구 자양동 581-1,자양동,02 4562373,김밥(도시락),영업/정상,1990-07-31,일반음식점,미등록,불가능,,없음,37.5331067,127.0752992,3750
이모네김밥,서울특별시 광진구 뚝섬로 590 (자양동),서울특별시 광진구 자양동 581-1,자양동,02 4562373,김밥(도시락),영업/정상,1990-07-31,일반음식점,미등록,불가능,,없음,37.5331067,127.0752992,3500
구의규 구의본점,"서울특별시 광진구 자양로18길 81, 1층 (구의동)",서울특별시 광진구 구의동 242-59,구의동,02 4529931,일식,영업/정상,1991-04-24,일반음식점,미등록,가능,,없음,37.538611,127.0880275,59000
동해바다,서울특별시 광진구 아차산로 453 (구의동),서울특별시 광진구 구의동 219-5,구의동,02 4587721,한식,영업/정상,1991-11-04,일반음식점,미등록,가능,,없음,37.5394007,127.0923951,14000
새싹김밥,서울특별시 광진구 광나루로40길 30 (구의동),서울특별시 광진구 구의동 231-7번지,구의동,02 4559631,분식,영업/정상,1991-06-07,일반음식점,미등록,가능,,없음,37.5434837,127.0891791,4250
피플한정식,서울특별시 광진구 천호대로102길 9 (군자동),서울특별시 광진구 군자동 466-3,군자동,02 4625353,통닭(치킨),영업/정상,1991-02-04,일반음식점,미등록,가능,,없음,37.5584892,127.0742539,36250
능동숯불갈비,서울특별시 광진구 면목로 55 (중곡동),서울특별시 광진구 중곡동 629-5,중곡동,02 4991315,식육(숯불구이),영업/정상,1992-01-06,일반음식점,미등록,가능,,없음,37.55901,127.0772354,14000
태평양수산회세꼬시,서울특별시 광진구 군자로 183 (군자동),서울특별시 광진구 군자동 473-17,군자동,02 4999212,일식,영업/정상,1992-01-15,일반음식점,미등록,가능,,없음,37.5570133,127.0782326,13250
어부네,서울특별시 광진구 천호대로107길 16 (중곡동),서울특별시 광진구 중곡동 648-4번지,중곡동,02 4987050,한식,영업/정상,1992-04-09,일반음식점,미등록,가능,,없음,37.5584443,127.0787495,18750
동해안이야기,서울특별시 광진구 면목로 167 (중곡동),서울특별시 광진구 중곡동 691-9번지,중곡동,02 4692649,한식,영업/정상,1992-07-02,일반음식점,미등록,가능,,없음,37.5681982,127.082279,24250
이자카나,서울특별시 광진구 동일로22길 88 (화양동),서울특별시 광진구 화양동 7-33,화양동,02 4665122,호프/통닭,영업/정상,1992-08-29,일반음식점,미등록,불가능,,없음,37.5410649,127.068949,3000
노크건대직영점,서울특별시 광진구 동일로22길 89 (화양동),서울특별시 광진구 화양동 9-86,화양동,02 4615066,호프/통닭,영업/정상,1992-11-10,일반음식점,미등록,불가능,,없음,37.5411943,127.0691391,26500
마포숯불갈비,서울특별시 광진구 뚝섬로25길 4 (자양동),서울특별시 광진구 자양동 553-87,자양동,02 4988914,식육(숯불구이),영업/정상,1993-03-05,일반음식점,미등록,가능,,없음,37.5363493,127.0655341,21250
한술상,서울특별시 광진구 아차산로51길 51 (구의동),서울특별시 광진구 구의동 252-2,구의동,02 4463530,호프/통닭,영업/정상,1993-09-15,일반음식점,미등록,불가능,,없음,37.5393401,127.084772,18000
대중관,"서울특별시 광진구 용마산로 115, 길풍빌딩 1층 (중곡동)",서울특별시 광진구 중곡동 28-5번지 길풍빌딩,중곡동,02 4536704,중국식,영업/정상,1993-09-01,일반음식점,미등록,가능,,없음,37.5638986,127.086569,6375
가마로,서울특별시 광진구 동일로22길 100 (화양동),서울특별시 광진구 화양동 7-42,화양동,02 4615245,한식,영업/정상,1991-01-31,일반음식점,미등록,가능,,없음,37.5408437,127.0694867,9625
사대분식,"서울특별시 광진구 능동로 197 (군자동,,21)","서울특별시 광진구 군자동 98-8번지 ,21 ",군자동,02 4665130,분식,영업/정상,1993-11-16,일반음식점,미등록,불가능,,없음,37.548218,127.0745339,5500
인,서울특별시 광진구 구의강변로 52-1 (구의동),서울특별시 광진구 구의동 594-1번지,구의동,222015556,호프/통닭,영업/정상,1993-08-30,일반음식점,미등록,불가능,,없음,37.5353191,127.0923462,22250
건우식당,서울특별시 광진구 광나루로 428 (화양동),서울특별시 광진구 화양동 489,화양동,02 4546841,한식,영업/정상,1993-03-12,일반음식점,미등록,불가능,,없음,37.5457985,127.0767868,6250
창바위황태,"서울특별시 광진구 능동로 302, 1층 (능동)",서울특별시 광진구 능동 276-3,능동,02 4442300,한식,영업/정상,1994-07-11,일반음식점,미등록,가능,,없음,37.5565877,127.0795276,21000
원조숯불소금구이,서울특별시 광진구 광나루로12길 19 (화양동),서울특별시 광진구 화양동 20-25,화양동,222050808,식육(숯불구이),영업/정상,1994-01-15,일반음식점,미등록,가능,,없음,37.5467351,127.0676173,26000
진우식당,"서울특별시 광진구 용마산로 178, 1층 (중곡동)",서울특별시 광진구 중곡동 289-7번지 1층,중곡동,02 4572434,한식,영업/정상,1994-07-01,일반음식점,미등록,불가능,,없음,37.5695815,127.0864006,9000
배연식당,서울특별시 광진구 자양번영로6길 5 (자양동),서울특별시 광진구 자양동 608-23번지,자양동,02 4539080,한식,영업/정상,1994-04-15,일반음식점,미등록,불가능,,없음,37.5325929,127.0759272,8250
동서울왕족발,"서울특별시 광진구 자양로50길 42, 1층 (구의동)",서울특별시 광진구 구의동 33-12 1층,구의동,02 4523663,한식,영업/정상,1994-10-08,일반음식점,미등록,불가능,,없음,37.5522827,127.0946738,23250
마포숯불갈비,서울특별시 광진구 용마산로33길 41 (중곡동),서울특별시 광진구 중곡동 199-22,중곡동,02 4985603,식육(숯불구이),영업/정상,1994-08-30,일반음식점,미등록,가능,,없음,37.5702673,127.083715,21250
남원골추어탕,"서울특별시 광진구 아차산로 403-5, 베네슈 1층 (구의동)",서울특별시 광진구 구의동 243-60 베네슈1층,구의동,02 4533600,한식,영업/정상,1994-07-12,일반음식점,미등록,불가능,,없음,37.5378003,127.0871934,9250
첼리와비올라,서울특별시 광진구 뚝섬로 476-14 (자양동),서울특별시 광진구 자양동 238-16,자양동,02469 7002,한식,영업/정상,1994-02-19,일반음식점,미등록,불가능,,없음,37.5366024,127.0623178,10750
홍콩,"서울특별시 광진구 영화사로 88, 1층 (구의동)",서울특별시 광진구 구의동 20-8 1층,구의동,02 4526670,중국식,영업/정상,1994-05-09,일반음식점,미등록,가능,,없음,37.5546566,127.0957152,5250
건대사시미,서울특별시 광진구 아차산로33길 23 (화양동),서울특별시 광진구 화양동 8-92번지,화양동,02 4653222,경양식,영업/정상,1994-10-22,일반음식점,미등록,불가능,,없음,37.5413948,127.0702291,43000
시골밥상,서울특별시 광진구 아차산로62길 4 (구의동),서울특별시 광진구 구의동 218-3번지,구의동,02 4479471,한식,영업/정상,1994-01-06,일반음식점,미등록,가능,,없음,37.5393259,127.0932787,16750
시골밥상,서울특별시 광진구 아차산로62길 4 (구의동),서울특별시 광진구 구의동 218-3번지,구의동,02 4479471,한식,영업/정상,1994-01-06,일반음식점,미등록,가능,,없음,37.5393259,127.0932787,8500
봉자마라탕,서울특별시 광진구 동일로18길 22 (자양동),서울특별시 광진구 자양동 12-5번지,자양동,02 4998889,중국식,영업/정상,1994-12-27,일반음식점,미등록,불가능,,없음,37.5396666,127.0640572,13000
성민식당,서울특별시 광진구 동일로34길 31 (군자동),서울특별시 광진구 군자동 346-20,군자동,220885576,한식,영업/정상,1995-04-20,일반음식점,미등록,가능,,없음,37.5496746,127.0703375,6750
팔당숯불갈비,서울특별시 광진구 자양번영로 25-1 (자양동),서울특별시 광진구 자양동 583-9,자양동,222017843,식육(숯불구이),영업/정상,1995-04-24,일반음식점,미등록,가능,,없음,37.5319904,127.0749669,26250
고향집,서울특별시 광진구 아차산로49길 30 (구의동),서울특별시 광진구 구의동 252-88번지,구의동,02 4520004,한식,영업/정상,1995-05-11,일반음식점,미등록,가능,,없음,37.5382061,127.0844244,18250
늘봄참숯갈비,서울특별시 광진구 자양번영로 20 (자양동),서울특별시 광진구 자양동 600,자양동,02 4470740,식육(숯불구이),영업/정상,1995-05-19,일반음식점,미등록,가능,,없음,37.531379,127.0753883,26500
우렁쌈밥,서울특별시 광진구 능동로38길 31 (중곡동),서울특별시 광진구 중곡동 142-35번지,중곡동,02 4521164,한식,영업/정상,1995-05-16,일반음식점,미등록,불가능,,없음,37.5572866,127.0816507,7750
능동순두부,서울특별시 광진구 동일로60길 24 (군자동),서울특별시 광진구 군자동 93-1번지,군자동,02 4981753,한식,영업/정상,1995-06-01,일반음식점,미등록,가능,,없음,37.5580761,127.0747317,9250
콩예원,"서울특별시 광진구 아차산로78길 75 (광장동,현대골든텔 1층 101호)",서울특별시 광진구 광장동 102번지 현대골든텔 1층 101호,광장동,02 4524455,한식,영업/정상,1995-06-29,일반음식점,미등록,가능,,없음,37.5517898,127.1110718,26250
금용각,서울특별시 광진구 긴고랑로 106 (중곡동),서울특별시 광진구 중곡동 125-1,중곡동,02 4988080,중국식,영업/정상,1995-09-29,일반음식점,미등록,불가능,,없음,37.5595628,127.0869279,8750
라멘미세,서울특별시 광진구 능동로38길 30 (중곡동),서울특별시 광진구 중곡동 341-20번지,중곡동,02 4581379,일식,영업/정상,1995-01-25,일반음식점,미등록,가능,,없음,37.5571608,127.0813788,8250
외양간,서울특별시 광진구 아차산로25길 18 (화양동),서울특별시 광진구 화양동 46-65,화양동,02 4648884,기타,영업/정상,1995-08-01,일반음식점,미등록,가능,,없음,37.5421443,127.0669331,8250
연화식당,서울특별시 광진구 자양로18길 56 (구의동),서울특별시 광진구 구의동 243-6,구의동,02 4474922,한식,영업/정상,1995-04-11,일반음식점,미등록,불가능,,없음,37.5379606,127.08668,11972
모두랑,서울특별시 광진구 능동로43길 5 (중곡동),서울특별시 광진구 중곡동 162-21,중곡동,02 4974976,분식,영업/정상,1995-07-03,일반음식점,미등록,불가능,,없음,37.5610315,127.0811117,2750
모두랑,서울특별시 광진구 능동로43길 5 (중곡동),서울특별시 광진구 중곡동 162-21,중곡동,02 4974976,분식,영업/정상,1995-07-03,일반음식점,미등록,불가능,,없음,37.5610315,127.0811117,18000
명동분식,서울특별시 광진구 자양로13나길 17 (자양동),서울특별시 광진구 자양동 618-1번지,자양동,02 4528792,분식,영업/정상,1995-10-25,일반음식점,미등록,가능,,없음,37.533896,127.0800234,5750
아제로스구이,"서울특별시 광진구 영화사로 59-1, 1층 (중곡동)",서울특별시 광진구 중곡동 107-69 1층,중곡동,02 64080100,한식,영업/정상,1995-07-11,일반음식점,미등록,불가능,,없음,37.5552465,127.0931079,28250
울랄라대패삼겹,서울특별시 광진구 면목로 183-1 (중곡동),서울특별시 광진구 중곡동 210-10,중곡동,02 4991888,한식,영업/정상,1996-04-18,일반음식점,미등록,불가능,,없음,37.5696173,127.0829336,4875
대포집,서울특별시 광진구 자양로18길 53 (구의동),서울특별시 광진구 구의동 257-122,구의동,02 4533017,분식,영업/정상,1996-10-11,일반음식점,미등록,가능,,없음,37.5381977,127.0863789,24000
진우식당,서울특별시 광진구 뚝섬로 476 (자양동),서울특별시 광진구 자양동 52-65,자양동,02 4684368,한식,영업/정상,1996-11-29,일반음식점,미등록,불가능,,없음,37.5364535,127.0631359,9000
좋은사람들,서울특별시 광진구 아차산로51길 36-1 (구의동),서울특별시 광진구 구의동 257-72,구의동,02 4477020,호프/통닭,영업/정상,1996-11-26,일반음식점,미등록,가능,,없음,37.5386548,127.0851445,12000
영일만수산시장,서울특별시 광진구 용마산로6길 9 (중곡동),서울특별시 광진구 중곡동 79-10,중곡동,02 4588470,일식,영업/정상,1996-01-04,일반음식점,미등록,가능,,없음,37.5574271,127.0886351,17750
명봉반점,서울특별시 광진구 뚝섬로31길 59 (자양동),서울특별시 광진구 자양동 4-1,자양동,02 4988808,중국식,영업/정상,1996-09-20,일반음식점,미등록,가능,,없음,37.5380983,127.0686599,23000
라비올리,서울특별시 광진구 천호대로129길 16 (구의동),서울특별시 광진구 구의동 52-15번지,구의동,,경양식,영업/정상,1996-03-25,일반음식점,미등록,가능,,없음,37.5525959,127.0906779,8100
대가식당,서울특별시 광진구 광나루로 596 (구의동),서울특별시 광진구 구의동 201-4,구의동,02 4557866,한식,영업/정상,1996-04-09,일반음식점,미등록,불가능,,없음,37.5420642,127.0944251,22250
엄마의손맛,"서울특별시 광진구 천호대로127길 8, 1층 (중곡동)",서울특별시 광진구 중곡동 115-3,중곡동,02 4544496,한식,영업/정상,1996-06-13,일반음식점,미등록,불가능,,없음,37.553459,127.0893067,12500
개화정,서울특별시 광진구 동일로22길 48 (화양동),서울특별시 광진구 화양동 48-22번지,화양동,02466 9192,한식,영업/정상,1996-07-09,일반음식점,미등록,가능,,없음,37.5417372,127.0668636,10650
횃불,서울특별시 광진구 아차산로55길 20 (구의동),서울특별시 광진구 구의동 242-90,구의동,,한식,영업/정상,1996-09-17,일반음식점,미등록,가능,,없음,37.5382704,127.0866405,24250
이가숯불닭갈비,서울특별시 광진구 자양로18길 45 (구의동),서울특별시 광진구 구의동 257-92,구의동,234365747,한식,영업/정상,1997-04-04,일반음식점,미등록,가능,,없음,37.5381392,127.0860605,12250
옛날집,서울특별시 광진구 면목로17길 40 (중곡동),서울특별시 광진구 중곡동 579-1번지,중곡동,02 4357312,분식,영업/정상,1997-06-11,일반음식점,미등록,불가능,,없음,37.5708923,127.0810719,7000
까막돼지와버섯총각들,서울특별시 광진구 아차산로70길 17-21 (광장동),서울특별시 광진구 광장동 561,광장동,02 4568689,한식,영업/정상,1997-07-01,일반음식점,미등록,가능,,없음,37.5414998,127.1032682,13500
보현식당,서울특별시 광진구 뚝섬로34길 9 (자양동),서울특별시 광진구 자양동 761번지 현대아파트 2차상가,자양동,02 4585784,한식,영업/정상,1997-09-25,일반음식점,미등록,가능,,없음,37.528116,127.0824067,14000
참나무로바베큐,서울특별시 광진구 긴고랑로 51 (중곡동),서울특별시 광진구 중곡동 164-8,중곡동,02 4649282,호프/통닭,영업/정상,1997-11-26,일반음식점,미등록,가능,,없음,37.5626082,127.0819851,21000
옥문,서울특별시 광진구 광나루로56길 29 (구의동),서울특별시 광진구 구의동 631-1 프라임상가 지하 108,구의동,,한식,영업/정상,1997-08-05,일반음식점,미등록,가능,,없음,37.5373973,127.0976212,9000
천미향,"서울특별시 광진구 능동로 237, 2층 (군자동)",서울특별시 광진구 군자동 249번지,군자동,02 4648088,중국식,영업/정상,1997-05-07,일반음식점,미등록,가능,,없음,37.5513837,127.0759741,11500
또 도시락,"서울특별시 광진구 군자로 128, 1층 (군자동)",서울특별시 광진구 군자동 149-12,군자동,02 4671444,분식,영업/정상,1997-06-23,일반음식점,미등록,불가능,,없음,37.5534025,127.0738854,7750
마장솥뚜껑,"서울특별시 광진구 자양로43길 151, 1층 (중곡동)",서울특별시 광진구 중곡동 80-1,중곡동,222016366,한식,영업/정상,1997-09-04,일반음식점,미등록,가능,,없음,37.5572327,127.0886732,18500
마쯔리,서울특별시 광진구 아차산로33길 43 (화양동),서울특별시 광진구 화양동 8-1번지,화양동,02 4690124,호프/통닭,영업/정상,1997-09-05,일반음식점,미등록,가능,,없음,37.5422235,127.0706189,15250
라운지앤,"서울특별시 광진구 능동로35길 28-1, 1층 (군자동)",서울특별시 광진구 군자동 472-8번지 1층,군자동,02 4974647,경양식,영업/정상,1997-10-24,일반음식점,미등록,가능,,있음,37.5571956,127.0775229,10500
화로선생,"서울특별시 광진구 아차산로33길 43, 1층 (화양동)",서울특별시 광진구 화양동 8-1,화양동,02 4673392,한식,영업/정상,1998-03-13,일반음식점,미등록,불가능,,없음,37.5422235,127.0706189,16075
포크포크,서울특별시 광진구 동일로22길 117-16 (화양동),서울특별시 광진구 화양동 5-95,화양동,,기타,영업/정상,1998-03-31,일반음식점,미등록,가능,,없음,37.5413163,127.0708905,9125
시골밥상,"서울특별시 광진구 광나루로56길 85 (구의동,테크노마트 지하1층 A021호)",서울특별시 광진구 구의동 546-4번지 테크노마트 지하1층 A021호,구의동,234241383,한식,영업/정상,1998-04-07,일반음식점,미등록,가능,,없음,37.5356993,127.095765,16750
시골밥상,"서울특별시 광진구 광나루로56길 85 (구의동,테크노마트 지하1층 A021호)",서울특별시 광진구 구의동 546-4번지 테크노마트 지하1층 A021호,구의동,234241383,한식,영업/정상,1998-04-07,일반음식점,미등록,가능,,없음,37.5356993,127.095765,8500
진국설렁탕,"서울특별시 광진구 광나루로56길 85, 9층동 013호호 (구의동,테크노마트21)",서울특별시 광진구 구의동 546-4번지 테크노마트21 9층동 013호호,구의동,234241139,한식,영업/정상,1998-04-20,일반음식점,미등록,불가능,,없음,37.5354852,127.0954867,9750
장수면옥,"서울특별시 광진구 광나루로56길 85, 9층동 1호 (구의동,테크노마트21)",서울특별시 광진구 구의동 546-4번지 테크노마트21 9층동 1호,구의동,234241130,한식,영업/정상,1998-04-29,일반음식점,미등록,불가능,,없음,37.5354852,127.0954867,9500
갯뻘낙지쭈꾸미,서울특별시 광진구 자양로43길 26 (구의동),서울특별시 광진구 구의동 52-23번지,구의동,02 4550354,한식,영업/정상,1998-05-08,일반음식점,미등록,불가능,,없음,37.5517489,127.0907938,37500
배가네 논밭집,서울특별시 광진구 아차산로51길 46 (구의동),서울특별시 광진구 구의동 257-81,구의동,234369595,한식,영업/정상,1998-09-22,일반음식점,미등록,불가능,,없음,37.5390728,127.0851101,9650
대한해물,서울특별시 광진구 아차산로51길 32 (구의동),서울특별시 광진구 구의동 257-115,구의동,02 4561022,한식,영업/정상,1998-10-23,일반음식점,미등록,가능,,없음,37.5383562,127.0851635,36750
만경상회,서울특별시 광진구 동일로22길 40 (화양동),서울특별시 광진구 화양동 49-14,화양동,02 4610352,한식,영업/정상,1998-11-30,일반음식점,미등록,불가능,,없음,37.5419092,127.0663576,26475
중국성,"서울특별시 광진구 뚝섬로 741 (구의동,,22)","서울특별시 광진구 구의동 593-19번지 ,22 ",구의동,02 4560608,중국식,영업/정상,1998-03-27,일반음식점,미등록,가능,,없음,37.5344948,127.0911892,7500
모모카,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 지하1층 A005호 (구의동)",서울특별시 광진구 구의동 546-4 테크노-마트21,구의동,234240899,일식,영업/정상,1998-06-19,일반음식점,미등록,불가능,,없음,37.5354852,127.0954867,6875
빠스또네,"서울특별시 광진구 광나루로56길 85, A동 008호 (구의동,테크노마트지하1층)",서울특별시 광진구 구의동 546-4번지 테크노마트지하1층 A동 008호,구의동,02 4224716,경양식,영업/정상,1998-04-14,일반음식점,미등록,불가능,,있음,37.5356993,127.095765,11000
장수빈대떡,서울특별시 광진구 자양로43길 26 (구의동),서울특별시 광진구 구의동 52-23번지,구의동,02456 9889,한식,영업/정상,1998-05-08,일반음식점,미등록,불가능,,없음,37.5517489,127.0907938,14000
황고집,서울특별시 광진구 답십리로 370 (중곡동),서울특별시 광진구 중곡동 566-1번지,중곡동,02 4351900,분식,영업/정상,1998-06-18,일반음식점,미등록,불가능,,없음,37.5714411,127.0815464,10250
고향반점,서울특별시 광진구 동일로18길 61 (자양동),서울특별시 광진구 자양동 9-33,자양동,02 4663618,중국식,영업/정상,1999-01-14,일반음식점,미등록,불가능,,없음,37.5391489,127.06627,20000
영양닭곰탕,서울특별시 광진구 능동로38길 35 (중곡동),서울특별시 광진구 중곡동 142-32번지,중곡동,02 4527920,한식,영업/정상,1999-03-25,일반음식점,미등록,가능,,없음,37.5572123,127.0818259,9500
장수숯불갈비,"서울특별시 광진구 자양번영로 18 (자양동,(1층))",서울특별시 광진구 자양동 600-14 (1층),자양동,02 4572035,식육(숯불구이),영업/정상,1999-04-02,일반음식점,미등록,가능,,없음,37.5311623,127.0753313,25500
마우로아,서울특별시 광진구 능동로 320 (중곡동),서울특별시 광진구 중곡동 158-24,중곡동,222016089,분식,영업/정상,1999-04-15,일반음식점,미등록,가능,,없음,37.5581522,127.0802906,19500
