사업장명,도로명주소,지번주소,전화번호,업태구분명,영업상태명,인허가일자,좌표정보(X),좌표정보(Y),업종,착한업소,사랑상품권,위생등급,행정처분,latitude,longitude
전주식당,"서울특별시 광진구 뚝섬로55길 35, 1층 (자양동)",서울특별시 광진구 자양동 633-1 ,02 4472111,한식,영업/정상,1980-11-03,207142.5199131,447841.193479245,일반음식점,미등록,가능,,없음,37.5327898,127.0815976
59피자,서울특별시 광진구 면목로 132-1 (중곡동),서울특별시 광진구 중곡동 193-52 ,02 4671319,패스트푸드,영업/정상,1980-11-06,207087.8448735,451428.393141132,일반음식점,미등록,불가능,,없음,37.5651105,127.0810133
메가엠지씨커피 건대입구역점,서울특별시 광진구 아차산로 224 (자양동),서울특별시 광진구 자양동 7-25 ,02 4611174,분식,영업/정상,1980-09-02,205948.480566193,448701.947776139,일반음식점,미등록,불가능,,없음,37.5405535,127.0680953
옛고을장터,"서울특별시 광진구 긴고랑로 31, 2층 (중곡동)",서울특별시 광진구 중곡동 241-30 ,02 4972389,분식,영업/정상,1981-04-11,207002.629892424,451226.054384441,일반음식점,미등록,불가능,,없음,37.5632881,127.0800469
아도겐,"서울특별시 광진구 군자로 50, 1층 (화양동)",서울특별시 광진구 화양동 119-5 ,0222057888,한식,영업/정상,1981-01-27,206173.255388979,449477.820728357,일반음식점,미등록,불가능,,없음,37.5475426,127.0706451
송화,"서울특별시 광진구 아차산로51길 24, 1~2층 (구의동)",서울특별시 광진구 구의동 257-129,02 4476780,한식,영업/정상,1980-07-09,207458.566644118,448423.621358073,일반음식점,미등록,불가능,,없음,37.5380349,127.0851791
굴이짱,서울특별시 광진구 긴고랑로 61 (중곡동),서울특별시 광진구 중곡동 39-62 ,02 4589995,한식,영업/정상,1981-08-24,207277.021986714,451095.117699114,일반음식점,미등록,불가능,,없음,37.5621063,127.0831512
명가칼국수,"서울특별시 광진구 천호대로 563 (중곡동,,13)","서울특별시 광진구 중곡동 341-12번지 ,13 ",02 4523175,한식,영업/정상,1981-10-07,207087.481162695,450534.362969561,일반음식점,미등록,불가능,,없음,37.5570554,127.0810006
싸리골,서울특별시 광진구 능동로 300 (능동),서울특별시 광진구 능동 276-4 ,0234369895,한식,영업/정상,1981-05-28,206951.081511266,450468.555022798,일반음식점,미등록,불가능,,없음,37.5564635,127.0794563
삼강식당,서울특별시 광진구 천호대로101길 49 (중곡동),서울특별시 광진구 중곡동 614-15번지 ,02 4661066,한식,영업/정상,1981-11-09,206609.527237655,451016.396008625,일반음식점,미등록,가능,,없음,37.561402,127.0755957
수원식당,서울특별시 광진구 군자로 182 (군자동),서울특별시 광진구 군자동 476-1 ,02 4666140,일식,영업/정상,1981-06-09,206845.603318703,450493.507050316,일반음식점,미등록,불가능,,없음,37.5566891,127.0782628
래빗홀버거컴퍼니,서울특별시 광진구 광나루로 424 (화양동),서울특별시 광진구 화양동 490-2 ,02 4460424,한식,영업/정상,1981-10-20,206692.204330363,449308.442740745,일반음식점,미등록,가능,좋음,없음,37.5460129,127.076516
곽홍백외식연구소식당,서울특별시 광진구 면목로 92 (중곡동),서울특별시 광진구 중곡동 244-45 ,02 4619292,한식,영업/정상,1981-06-13,206930.813471672,451073.926986357,일반음식점,미등록,불가능,,없음,37.561918,127.0792326
대동각,서울특별시 광진구 뚝섬로52라길 32 (자양동),서울특별시 광진구 자양동 647-1번지 ,02 4463769,한식,영업/정상,1981-09-03,207021.439593736,447466.492184717,일반음식점,미등록,불가능,,없음,37.5294147,127.0802241
애래향,"서울특별시 광진구 동일로76길 58 (중곡동,(1층))",서울특별시 광진구 중곡동 173-22번지 (1층) ,02 4996607,중국식,영업/정상,1981-05-06,207148.726951369,451741.07047333,일반음식점,미등록,불가능,,없음,37.5679272,127.0817054
미림,서울특별시 광진구 자양로18길 9 (구의동),서울특별시 광진구 구의동 252-39 ,02 4477879,한식,영업/정상,1981-09-16,207356.573747275,448379.040649921,일반음식점,미등록,가능,,없음,37.5376341,127.0840247
황태칼국수,서울특별시 광진구 아차산로 397 (구의동),서울특별시 광진구 구의동 243-7번지 ,02 4523989,분식,영업/정상,1981-03-02,207598.171748374,448378.065303123,일반음식점,미등록,가능,,없음,37.5376233,127.0867582
군자김밥,"서울특별시 광진구 능동로 297, 1층 (군자동)",서울특별시 광진구 군자동 477-19번지 ,02 4657988,김밥(도시락),영업/정상,1981-09-18,206884.950871245,450471.512045167,일반음식점,미등록,가능,,없음,37.5564907,127.0787079
전주기사님식당,서울특별시 광진구 긴고랑로 70 (중곡동),서울특별시 광진구 중곡동 340-2번지 ,02  457 6251,한식,영업/정상,1982-06-08,207305.011015964,451025.008922655,일반음식점,미등록,가능,,없음,37.5614744,127.0834673
당진동태탕아구찜,서울특별시 광진구 긴고랑로 46-1 (중곡동),서울특별시 광진구 중곡동 242-2 ,02 4662925,정종/대포집/소주방,영업/정상,1982-12-06,207113.074889994,451134.444037382,일반음식점,미등록,불가능,,없음,37.5624619,127.0812961
성호식당,서울특별시 광진구 자양로 204 (구의동),서울특별시 광진구 구의동 68-33 ,02 4551009,한식,영업/정상,1982-12-15,207530.835968407,449244.85958882,일반음식점,미등록,불가능,,없음,37.5454336,127.0860052
철길부산집 군자역점,서울특별시 광진구 능동로36길 38 (능동),서울특별시 광진구 능동 223-6 ,02 4543518,호프/통닭,영업/정상,1982-12-14,207096.839427047,450370.322395007,일반음식점,미등록,불가능,,없음,37.5555773,127.081105
밀밭,서울특별시 광진구 광나루로 404 (화양동),서울특별시 광진구 화양동 111-72 ,02 4448572,분식,영업/정상,1982-06-27,206508.851523954,449413.728670008,일반음식점,미등록,불가능,,없음,37.5469628,127.0744421
연길원보양꼬치,서울특별시 광진구 동일로18길 23 (자양동),서울특별시 광진구 자양동 16-37 ,02 4677771,중국식,영업/정상,1983-10-18,205616.258579227,448617.181900381,일반음식점,미등록,불가능,,없음,37.5397918,127.0643356
남한강식당,서울특별시 광진구 동일로 150 (화양동),서울특별시 광진구 화양동 24-44 ,02 4647568,한식,영업/정상,1983-02-07,205783.662526458,449264.60399453,일반음식점,미등록,불가능,,없음,37.545624,127.0662348
송림식당,"서울특별시 광진구 자양번영로 77 (자양동,,137,138,139,141)","서울특별시 광진구 자양동 227-136 ,137,138,139,141 ",02 4575473,한식,영업/정상,1983-04-27,206693.960472589,448283.975777439,일반음식점,미등록,불가능,,없음,37.5367826,127.0765266
진곱창,서울특별시 광진구 아차산로 397 (구의동),서울특별시 광진구 구의동 243-7번지 ,02 4560866,한식,영업/정상,1983-11-15,207598.171748374,448378.065303123,일반음식점,미등록,가능,,없음,37.5376233,127.0867582
제주황금도야지,서울특별시 광진구 자양로18길 12-5 (구의동),서울특별시 광진구 구의동 246-29번지 ,02   4560058,한식,영업/정상,1983-06-17,207386.247068728,448339.864459721,일반음식점,미등록,가능,,없음,37.5372809,127.08436
포계촌닭한마리,서울특별시 광진구 능동로 380 (중곡동),서울특별시 광진구 중곡동 31-10 ,02 4559960,한식,영업/정상,1983-02-09,207262.180357667,451204.059135038,일반음식점,미등록,가능,,없음,37.563088,127.0829843
강남찌개,서울특별시 광진구 능동로38길 3 (중곡동),서울특별시 광진구 중곡동 158-32 ,02 4530551,한식,영업/정상,1983-02-14,207022.876262319,450619.905879655,일반음식점,미등록,가능,,없음,37.55782660000001,127.0802702
제즈레스토랑,"서울특별시 광진구 광나루로 362, 지하1층 (화양동)",서울특별시 광진구 화양동 18-5번지 ,02 4659901,경양식,영업/정상,1983-03-03,206113.434495552,449502.408581647,일반음식점,미등록,불가능,,없음,37.5477645,127.0699684
신의주순대와곰탕,서울특별시 광진구 천호대로 663 (구의동),서울특별시 광진구 구의동 53-9 ,02 4589882,한식,영업/정상,1983-05-30,207903.068321627,449950.902116323,일반음식점,미등록,가능,,없음,37.5517919,127.0902248
요거프레소건국대점,서울특별시 광진구 광나루로24길 21 (화양동),서울특별시 광진구 화양동 507-2 ,0234372591,분식,영업/정상,1983-09-05,206706.778483287,449252.044687938,일반음식점,미등록,가능,,없음,37.5455047,127.0766804
감탄(중곡점),서울특별시 광진구 천호대로111길 7 (중곡동),서울특별시 광진구 중곡동 341-28 ,02 4948600,호프/통닭,영업/정상,1983-04-22,207168.798582797,450507.082707788,일반음식점,미등록,불가능,,없음,37.556809,127.0819207
옥된장 구의점,서울특별시 광진구 자양로18길 14 (구의동),서울특별시 광진구 구의동 246-31 ,02 4448292,호프/통닭,영업/정상,1983-12-05,207380.5402062,448360.699483182,일반음식점,미등록,불가능,,없음,37.5374686,127.0842957
능동국시,서울특별시 광진구 능동로35길 23 (군자동),서울특별시 광진구 군자동 474-2 ,02 4648877,분식,영업/정상,1983-11-05,206791.316858612,450522.188167897,일반음식점,미등록,가능,,없음,37.5569479,127.0776487
더오리1987&청년쪽갈비,"서울특별시 광진구 구의로 71, 1층 102호 (구의동)",서울특별시 광진구 구의동 229-45,0263689292,일식,영업/정상,1983-11-05,207919.478607974,449117.109192073,일반음식점,미등록,불가능,,없음,37.5442794,127.0904016
신설식당,"서울특별시 광진구 자양번영로 64 (자양동,1층 (지번수정))",서울특별시 광진구 자양동 806-10 1층 (지번수정) ,02 4526123,한식,영업/정상,1984-12-29,206694.707117694,448117.62035416,일반음식점,미등록,불가능,,없음,37.5352837,127.0765336
한식주점 낭만 구의점,서울특별시 광진구 자양로18길 53 (구의동),서울특별시 광진구 구의동 257-122 ,0261016888,중국식,영업/정상,1984-01-07,207564.588698853,448441.781875168,일반음식점,미등록,불가능,,없음,37.5381977,127.0863789
능동아구탕,서울특별시 광진구 천호대로 544 (군자동),서울특별시 광진구 군자동 473-18 ,02 4679350,한식,영업/정상,1984-10-25,206856.444064104,450552.294281067,일반음식점,미등록,가능,,없음,37.5572187,127.078386
그랑나랑,서울특별시 광진구 동일로28길 6 (화양동),서울특별시 광진구 화양동 24-2 ,02 4656942,호프/통닭,영업/정상,1983-04-21,205856.107055534,449379.495243321,일반음식점,미등록,불가능,,없음,37.5466587,127.0670554
홍콩반점0410건대역점,"서울특별시 광진구 아차산로 221, 2층 (화양동)",서울특별시 광진구 화양동 7-4 2층 ,02 4681500,중국식,영업/정상,1984-11-28,205961.538225195,448756.309472854,일반음식점,미등록,불가능,,없음,37.5410432,127.0682435
풍성감자탕,서울특별시 광진구 자양로18길 5 (구의동),서울특별시 광진구 구의동 252-43 ,02 4460354,한식,영업/정상,1984-07-11,207340.292442397,448374.720568783,일반음식점,미등록,불가능,,없음,37.5375953,127.0838404
온달,"서울특별시 광진구 워커힐로 177, 지상2층 (광장동)",서울특별시 광진구 광장동 22-1 2층 ,02 4504518,한식,영업/정상,1985-08-30,209775.267831522,450327.57709331,일반음식점,미등록,불가능,,없음,37.5551679,127.1114168
명월관,서울특별시 광진구 워커힐로 177 (광장동),서울특별시 광진구 광장동 21 ,02 4504595,한식,영업/정상,1985-08-30,209766.973555533,450385.000713887,일반음식점,미등록,불가능,,없음,37.5556854,127.1113237
쭈꾸미도사구의점,서울특별시 광진구 아차산로49길 11 (구의동),서울특별시 광진구 구의동 246-27 ,0220490092,한식,영업/정상,1985-06-26,207395.16949995,448353.625286977,일반음식점,미등록,불가능,,없음,37.5374048,127.0844611
송화양꼬치,서울특별시 광진구 동일로18길 70 (자양동),서울특별시 광진구 자양동 11-2,02 4627826,중국식,영업/정상,1985-07-31,205810.72883126,448502.495820087,일반음식점,미등록,가능,,없음,37.5387573,127.0665351
본스치킨자양본점,서울특별시 광진구 뚝섬로 484 (자양동),서울특별시 광진구 자양동 52-214 ,02 4619285,호프/통닭,영업/정상,1985-10-07,205586.426272937,448229.432020682,일반음식점,미등록,불가능,,없음,37.5362984,127.0639951
산세베리아,서울특별시 광진구 용마산로 12 (중곡동),서울특별시 광진구 중곡동 93-33 ,02 4539662,한식,영업/정상,1985-05-22,207768.781553654,450278.750950633,일반음식점,미등록,불가능,,없음,37.5547469,127.0887085
마포육곳간,서울특별시 광진구 뚝섬로 670 (자양동),서울특별시 광진구 자양동 662-13 ,02 4537653,횟집,영업/정상,1985-05-25,207349.510653919,447708.939689927,일반음식점,미등록,불가능,,없음,37.5315966,127.0839381
다락,서울특별시 광진구 광나루로 440 (화양동),서울특별시 광진구 화양동 467-2 ,02 4444128,일식,영업/정상,1985-06-19,206846.634930376,449244.085929771,일반음식점,미등록,가능,,없음,37.545432,127.0782629
몽아,서울특별시 광진구 면목로 29 (군자동),서울특별시 광진구 군자동 469-10 ,0221352489,까페,영업/정상,1985-12-27,206651.122465349,450505.501945465,일반음식점,미등록,불가능,,없음,37.5567986,127.0760619
백순대본가새맛 군자점,서울특별시 광진구 군자로 84-1 (군자동),서울특별시 광진구 군자동 363-3 ,02 4673715,분식,영업/정상,1985-02-21,206222.057755251,449820.670139258,일반음식점,미등록,불가능,,없음,37.5506313,127.0712002
장수한방닭한마리,"서울특별시 광진구 영화사로 42, 1층 (중곡동)",서울특별시 광진구 중곡동 98-1번지 1층 ,02 4575333,한식,영업/정상,1986-02-26,207993.328841296,450439.829268851,일반음식점,미등록,불가능,,없음,37.5561963,127.0912515
선화포차,서울특별시 광진구 용마산로6길 7 (중곡동),서울특별시 광진구 중곡동 79-16 ,02 4443780,한식,영업/정상,1986-05-03,207750.373723335,450575.262241214,일반음식점,미등록,불가능,,없음,37.5574186,127.0885033
짠롱지아,서울특별시 광진구 아차산로 397 (구의동),서울특별시 광진구 구의동 243-7번지 ,02 4440811,중국식,영업/정상,1986-05-01,207598.171748374,448378.065303123,일반음식점,미등록,가능,,없음,37.5376233,127.0867582
미림,서울특별시 광진구 자양로18길 11 (구의동),서울특별시 광진구 구의동 252-36 ,02 4449272,한식,영업/정상,1986-04-15,207368.258796328,448385.240096135,일반음식점,미등록,가능,,없음,37.5376898,127.0841569
상구네솥뚜껑삼겹살,서울특별시 광진구 능동로 387 (중곡동),서울특별시 광진구 중곡동 165-3,02 4646118,한식,영업/정상,1986-12-22,207255.743139598,451300.092919718,일반음식점,미등록,불가능,,없음,37.5639533,127.0829124
어린이회관구내식당,서울특별시 광진구 광나루로 441 (능동),서울특별시 광진구 능동 18-11 ,02446 5111,뷔페식,영업/정상,1986-10-08,206808.576422948,449396.05799662,일반음식점,미등록,불가능,,없음,37.5468015,127.0778337
양숙이네,서울특별시 광진구 자양번영로 74 (자양동),서울특별시 광진구 자양동 804-0 ,0234371102,한식,영업/정상,1986-03-24,206714.212196637,448200.07981197,일반음식점,미등록,가능,,없음,37.5360265,127.0767551
동화장,서울특별시 광진구 능동로 320 (중곡동),서울특별시 광진구 중곡동 158-24번지 ,02 4524778,중국식,영업/정상,1986-03-18,207024.642620424,450656.038395087,일반음식점,미등록,가능,,없음,37.55815219999999,127.0802906
마실가세,서울특별시 광진구 자양로13길 25 (자양동),서울특별시 광진구 자양동 630-17 ,02 4573436,한식,영업/정상,1986-06-30,207249.804697801,448085.081945821,일반음식점,미등록,불가능,,없음,37.5349864,127.0828137
종로빈대떡,서울특별시 광진구 자양로 49 (자양동),서울특별시 광진구 자양동 679-31 ,02 4567178,한식,영업/정상,1986-09-10,207459.25486718,447773.810030137,일반음식점,미등록,불가능,,없음,37.5321802,127.0851804
청진동해장국,서울특별시 광진구 광나루로 344 (화양동),서울특별시 광진구 화양동 21-49 ,02 4623532,분식,영업/정상,1986-07-22,205941.743421955,449534.924131181,일반음식점,미등록,가능,,없음,37.5480586,127.0680258
군자감자탕,서울특별시 광진구 군자로 183 (군자동),서울특별시 광진구 군자동 473-17 ,02 4999192,한식,영업/정상,1986-07-03,206842.905769612,450529.490836209,일반음식점,미등록,불가능,,없음,37.5570133,127.0782326
김가네 장군 왕족발,서울특별시 광진구 천호대로112길 10 (능동),서울특별시 광진구 능동 222-5 ,0222431326,한식,영업/정상,1986-07-12,207115.883872918,450394.186941515,일반음식점,미등록,불가능,,없음,37.5557922,127.0813207
순천만갯벌낙지,서울특별시 광진구 천호대로143길 8-7 (광장동),서울특별시 광진구 광장동 245-10 ,02 4561189,한식,영업/정상,1987-03-13,209069.116077857,449312.04256932,일반음식점,미등록,가능,,없음,37.5460252,127.1034127
광나루순대,"서울특별시 광진구 아차산로 621, 1층 (광장동)",서울특별시 광진구 광장동 337-1 1층 ,02 4589878,한식,영업/정상,1987-11-09,209405.843683882,449586.671703526,일반음식점,미등록,불가능,,없음,37.5484962,127.1072266
맛좋은순대국,"서울특별시 광진구 자양번영로1길 22 (자양동,(1층))",서울특별시 광진구 자양동 585-19번지 (1층) ,02 4585737,한식,영업/정상,1987-07-18,206446.263574401,447629.625900298,일반음식점,미등록,불가능,,없음,37.5308887,127.0737184
치바우뼈다귀,서울특별시 광진구 용마산로 38 (중곡동),서울특별시 광진구 중곡동 80-10 ,02446 1417,한식,영업/정상,1987-11-19,207736.066611303,450524.089944085,일반음식점,미등록,가능,,없음,37.5569577,127.0883409
세븐(7),"서울특별시 광진구 능동로 354, 1층 (중곡동)",서울특별시 광진구 중곡동 41-38번지 1층 ,02 4476120,한식,영업/정상,1987-02-25,207164.165988683,450971.915181518,일반음식점,미등록,가능,,없음,37.5609971,127.0818727
강진식당,서울특별시 광진구 뚝섬로 652 (자양동),서울특별시 광진구 자양동 652-20 ,02 4472059,한식,영업/정상,1984-12-17,207169.830626694,447675.746697806,일반음식점,미등록,불가능,,없음,37.5312989,127.081905
경향곱창,"서울특별시 광진구 구의로 70 (구의동,,15)","서울특별시 광진구 구의동 228-3 ,15 ",02 4554710,한식,영업/정상,1987-12-30,207949.854901236,449113.420152529,일반음식점,미등록,불가능,,없음,37.5442459,127.0907452
대원칼국수,"서울특별시 광진구 자양로18길 56, 거송빌딩 2층 (구의동)",서울특별시 광진구 구의동 243-6 거송빌딩 ,02 4543112,분식,영업/정상,1987-10-23,207591.228141729,448415.485656199,일반음식점,미등록,가능,,없음,37.5379606,127.08668
심야식당 히로,서울특별시 광진구 천호대로 647 (중곡동),서울특별시 광진구 중곡동 115-4 ,02 4443853,호프/통닭,영업/정상,1987-11-16,207824.309885177,450114.867821901,일반음식점,미등록,불가능,,없음,37.5532699,127.0893352
돈수작,서울특별시 광진구 능동로36길 13 (능동),서울특별시 광진구 능동 220-12번지 ,02 4554535,한식,영업/정상,1987-05-02,206993.388842001,450447.231628217,일반음식점,미등록,가능,,없음,37.5562711,127.0799349
춘천집명가,"서울특별시 광진구 아차산로33길 7 (화양동,,7)","서울특별시 광진구 화양동 7-1 ,7 ",02 4649659,한식,영업/정상,1987-05-28,206109.083667214,448718.215631071,일반음식점,미등록,가능,,없음,37.540699,127.0699127
명랑식당,,서울특별시 광진구 중곡동 340-4번지 ,02 4475190,한식,영업/정상,1987-06-20,,,일반음식점,미등록,불가능,,없음,37.5606652,127.083756
펀비어킹,서울특별시 광진구 아차산로33길 7 (화양동),서울특별시 광진구 화양동 7-1번지 ,02 4628413,호프/통닭,영업/정상,1987-02-18,206109.083667214,448718.215631071,일반음식점,미등록,가능,,없음,37.540699,127.0699127
미스터피자(아차산점),서울특별시 광진구 천호대로 647 (중곡동),서울특별시 광진구 중곡동 115-4 ,02 4441965,패스트푸드,영업/정상,1987-05-07,207824.309885177,450114.867821901,일반음식점,미등록,불가능,,없음,37.5532699,127.0893352
더맛존바베큐,서울특별시 광진구 자양로18길 19 (구의동),서울특별시 광진구 구의동 252-115 ,02 4557792,호프/통닭,영업/정상,1987-07-28,207413.460283436,448398.402229912,일반음식점,미등록,불가능,,없음,37.5378081,127.0846685
사오정,서울특별시 광진구 광나루로26길 16 (화양동),서울특별시 광진구 화양동 507-3번지 ,02 4472917,호프/통닭,영업/정상,1987-04-08,206722.531001496,449247.822854138,일반음식점,미등록,불가능,,없음,37.5454665,127.0768586
명동찌개마을,서울특별시 광진구 자양로18길 5 (구의동),서울특별시 광진구 구의동 252-43 ,02 4564756,한식,영업/정상,1987-03-06,207340.292442397,448374.720568783,일반음식점,미등록,가능,,없음,37.5375953,127.0838404
싹쓰리솥뚜껑 삼겹살,서울특별시 광진구 능동로38길 9 (중곡동),서울특별시 광진구 중곡동 158-35 ,02 4567960,한식,영업/정상,1987-12-07,207037.273369155,450612.663260752,일반음식점,미등록,불가능,,없음,37.5577613,127.0804331
박사아구찜전문,서울특별시 광진구 자양로 151 (구의동),서울특별시 광진구 구의동 254-108 ,02 4446520,한식,영업/정상,1987-02-23,207306.133176476,448790.51931761,일반음식점,미등록,가능,,없음,37.54134190000001,127.083458
해바라기,서울특별시 광진구 구의로 58 (구의동),서울특별시 광진구 구의동 227-39 ,02 4573786,까페,영업/정상,1987-03-23,207921.250924996,448986.017395108,일반음식점,미등록,불가능,,없음,37.5430982,127.0904202
꽃돼지,서울특별시 광진구 답십리로 374 (중곡동),서울특별시 광진구 중곡동 564-11번지 ,02 4331131,호프/통닭,영업/정상,1987-04-27,207169.713123245,452126.656821486,일반음식점,미등록,불가능,,없음,37.5714012,127.0819467
마시쏘 부대찌개,서울특별시 광진구 천호대로 644 (능동),서울특별시 광진구 능동 256-2 ,02 4576847,한식,영업/정상,1987-09-23,207743.292003062,450093.204643372,일반음식점,미등록,불가능,,없음,37.5530754,127.0884181
정가네빈대떡,서울특별시 광진구 천호대로112길 10 (능동),서울특별시 광진구 능동 222-5 ,02 4573676,한식,영업/정상,1987-10-02,207115.883872918,450394.186941515,일반음식점,미등록,불가능,,없음,37.5557922,127.0813207
고향빈대떡,서울특별시 광진구 자양로18길 44 (구의동),서울특별시 광진구 구의동 246-96번지 ,02 4586972,한식,영업/정상,1987-01-20,207527.333754237,448405.749230355,일반음식점,미등록,가능,,없음,37.5378733,127.085957
팔당왕족발,서울특별시 광진구 능동로 368 (중곡동),서울특별시 광진구 중곡동 41-20번지 ,02 4463343,한식,영업/정상,1988-07-06,207209.709887576,451087.298578287,일반음식점,미등록,가능,,없음,37.5620364,127.0823893
구의해장국,서울특별시 광진구 자양로 199 (구의동),서울특별시 광진구 구의동 80-48 ,02 4549532,한식,영업/정상,1988-01-26,207467.929911439,449238.256011565,일반음식점,미등록,가능,,없음,37.5453746,127.0852933
황토왕김치감자탕,서울특별시 광진구 아차산로51길 31 (구의동),서울특별시 광진구 구의동 252-130번지 ,02 4525714,한식,영업/정상,1988-04-20,207429.670680253,448459.536821989,일반음식점,미등록,가능,,없음,37.5383588,127.0848525
역전할머니맥주서울구의점,서울특별시 광진구 아차산로51길 36 (구의동),서울특별시 광진구 구의동 257-76번지 ,,호프/통닭,영업/정상,1988-10-27,207456.51210337,448476.74793719,일반음식점,미등록,가능,,없음,37.5385136,127.0851564
너구리포차,"서울특별시 광진구 자양로18길 56 (구의동,,16)","서울특별시 광진구 구의동 243-6 ,16 ",02 4555591,한식,영업/정상,1988-03-08,207591.228141729,448415.485656199,일반음식점,미등록,불가능,,없음,37.5379606,127.08668
도포식당,서울특별시 광진구 능동로 389 (중곡동),서울특별시 광진구 중곡동 165-2 ,02 4666777,한식,영업/정상,1988-08-22,207263.284583173,451317.549085884,일반음식점,미등록,가능,,없음,37.5641105,127.082998
능동곱창,서울특별시 광진구 능동로36길 15 (능동),서울특별시 광진구 능동 220-13 ,0234363637,한식,영업/정상,1988-04-12,207004.900280766,450441.593130936,일반음식점,미등록,가능,,없음,37.5562202,127.0800651
중일가든,서울특별시 광진구 아차산로76가길 4 (광장동),서울특별시 광진구 광장동 325-4 ,02 4543770,한식,영업/정상,1988-02-24,209430.368421197,449472.393556184,일반음식점,미등록,가능,,없음,37.5474664,127.1075026
우정식당,서울특별시 광진구 긴고랑로1길 6 (중곡동),서울특별시 광진구 중곡동 239-74번지 ,02 4665993,한식,영업/정상,1988-06-11,206776.102974846,451335.705990607,일반음식점,미등록,불가능,,없음,37.5642777,127.0774839
기절초풍물닭갈비,서울특별시 광진구 자양로13길 88-1 (자양동),서울특별시 광진구 자양동 617-25번지 ,02 4449222,한식,영업/정상,1988-02-29,207016.090579612,447865.372873496,일반음식점,미등록,가능,,없음,37.5330086,127.0801674
빡순대국밥,"서울특별시 광진구 동일로22길 105, 지층 (화양동)",서울특별시 광진구 화양동 8-26 ,02 4990410,호프/통닭,영업/정상,1988-04-13,206104.276455868,448747.933865195,일반음식점,미등록,불가능,,없음,37.5409668,127.0698585
